Well Name,Initial X,Initial Y,SOIL,Шаг,Дата,Дней,"Дебит нефти, ст.м3/сут","Дебит воды, ст.м3/сут","Забойное давление (И), Бара","WBP9, Бара"
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",12,29.07.2009,209.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56327540e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",13,29.08.2009,240.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.55813922e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",14,28.09.2009,270.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.54459076e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",15,27.10.2009,299.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.52771763e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",16,27.11.2009,330.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.50814266e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",17,26.12.2009,359.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.48945313e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",18,26.01.2010,390.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.46938596e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",19,25.02.2010,420.0000,+3.19524626e+02,+1.84374435e-04,+1.39394810e+02,+1.35963494e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",20,26.03.2010,449.0000,+3.17436949e+02,+1.90722427e-04,+1.36767217e+02,+1.31636308e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",21,26.04.2010,480.0000,+3.19265440e+02,+1.99785198e-04,+1.34289241e+02,+1.27625147e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",22,25.05.2010,509.0000,+3.21050997e+02,+2.12685013e-04,+1.29187808e+02,+1.22440052e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",23,24.06.2010,539.0000,+3.23130705e+02,+2.25031888e-04,+1.27291059e+02,+1.17246823e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",24,25.07.2010,570.0000,+3.21647226e+02,+2.34222250e-04,+1.23863674e+02,+1.12270746e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",25,30.07.2010,575.0000,+3.29805508e+02,+2.42104097e-04,+1.19482054e+02,+1.11368835e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",26,09.08.2010,585.0000,+3.21739440e+02,+2.40443595e-04,+1.19639944e+02,+1.09768734e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",27,23.08.2010,599.0000,+3.12259860e+02,+2.40130379e-04,+1.17870749e+02,+1.07579776e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",28,23.09.2010,630.0000,+3.21500916e+02,+2.63526435e-04,+1.16187738e+02,+1.02299340e+02
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",29,23.10.2010,660.0000,+3.16678436e+02,+2.74016139e-04,+1.13080959e+02,+9.75321441e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",30,21.11.2010,689.0000,+3.12115127e+02,+2.82776941e-04,+1.10388555e+02,+9.32308534e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",31,22.12.2010,720.0000,+3.16457400e+02,+2.99731112e-04,+1.07754067e+02,+8.88114644e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",32,20.01.2011,749.0000,+3.26407598e+02,+3.21518498e-04,+1.05777339e+02,+8.47309247e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",33,20.02.2011,780.0000,+3.16478047e+02,+3.22718064e-04,+1.03435879e+02,+8.10195610e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",34,22.03.2011,810.0000,+3.10494874e+02,+3.25838627e-04,+1.00791049e+02,+7.78063386e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",35,20.04.2011,839.0000,+3.19718445e+02,+3.44543924e-04,+9.96706506e+01,+7.47216159e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",36,21.05.2011,870.0000,+3.23820632e+02,+3.57798969e-04,+9.84647570e+01,+7.17367049e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",37,20.06.2011,900.0000,+3.16904133e+02,+3.57198224e-04,+9.65383611e+01,+6.93067021e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",38,20.07.2011,930.0000,+3.14698799e+02,+3.61318152e-04,+9.56510055e+01,+6.70420113e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",39,20.08.2011,961.0000,+3.07068392e+02,+3.58222382e-04,+9.40017789e+01,+6.50394725e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",40,19.09.2011,991.0000,+3.24943144e+02,+3.85935109e-04,+9.43609959e+01,+6.27950527e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",41,20.10.2011,1022.0000,+3.19083996e+02,+3.83948460e-04,+9.37514991e+01,+6.10474155e+01
P1,82,44,"[[0.8928888888888888, 0.8865555555555555, 0.8795555555555555, 0.8716666666666666, 0.8642222222222222, 0.8542222222222222, 0.841888888888889, 0.8301111111111111, 0.8208888888888889], [0.8892800000000001, 0.8474400000000002, 0.8757599999999998, 0.8678799999999999, 0.8603600000000001, 0.8503999999999999, 0.83832, 0.8265199999999997, 0.8171999999999998], [0.8846734693877549, 0.8422448979591833, 0.8712040816326531, 0.8633877551020406, 0.8556938775510204, 0.8457755102040819, 0.8337959183673468, 0.8219591836734692, 0.8126326530612246]]",42,19.11.2011,1052.0000,+3.22076368e+02,+3.92208275e-04,+9.36025723e+01,+5.94542071e+01
