Well Name,Initial X,Initial Y,PORO,SOIL,Шаг,Дата,Дней,"Дебит нефти, ст.м3/сут","Дебит воды, ст.м3/сут","Обводнённость, доля","WBP9, Бара"
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",12,29.07.2009,209.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.57091605e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",13,29.08.2009,240.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.56488853e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",14,28.09.2009,270.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.54979437e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",15,27.10.2009,299.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.53217020e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",16,27.11.2009,330.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.51274606e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",17,26.12.2009,359.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.49468798e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",18,26.01.2010,390.0000,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+1.47556643e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",19,25.02.2010,420.0000,+3.19524629e+02,+1.80516409e-04,+5.64952716e-07,+1.36153199e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",20,26.03.2010,449.0000,+3.17436955e+02,+1.85009318e-04,+5.82821903e-07,+1.32710866e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",21,26.04.2010,480.0000,+3.19265447e+02,+1.92700262e-04,+6.03573444e-07,+1.29075184e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",22,25.05.2010,509.0000,+3.21051007e+02,+2.03335632e-04,+6.33343298e-07,+1.24454949e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",23,24.06.2010,539.0000,+3.23130717e+02,+2.13080793e-04,+6.59425556e-07,+1.19991409e+02
P1,82,44,"[[0.11444444444444445, 0.18777777777777774, 0.13333333333333336, 0.15777777777777777, 0.14555555555555555, 0.24000000000000002, 0.2488888888888889, 0.2288888888888889, 0.14888888888888888], [0.1328, 0.17200000000000004, 0.12200000000000001, 0.146, 0.1364, 0.22080000000000014, 0.22880000000000003, 0.21080000000000002, 0.14759999999999998], [0.13795918367346946, 0.1540816326530613, 0.10795918367346935, 0.1281632653061225, 0.1220408163265306, 0.1957142857142858, 0.20265306122448978, 0.18693877551020419, 0.13448979591836735]]","[[0.8936666666666668, 0.887111111111111, 0.8801111111111111, 0.8722222222222222, 0.8644444444444445, 0.855, 0.8432222222222223, 0.8312222222222221, 0.8217777777777777], [0.88988, 0.84812, 0.8764800000000001, 0.8686000000000001, 0.8608400000000002, 0.8512399999999998, 0.8394400000000001, 0.8276000000000002, 0.81816], [0.8853469387755103, 0.8428979591836733, 0.8718775510204079, 0.8641020408163266, 0.856326530612245, 0.8466734693877553, 0.8348571428571426, 0.8230612244897955, 0.8136530612244893]]",24,25.07.2010,570.0000,+3.21647240e+02,+2.19714502e-04,+6.83091052e-07,+1.15829735e+02
